epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,992.374,1.44401,0.2239,0.15549,0.9111,1.39024,0.94682,0.88,0.93879,0.48357,0.94682,0.88,0.94912,0.92136,1.62941,0.2396,0.04471,0.88649,1.63521,0.0014852,0.0014852,0.0014852
28,1025.53,1.4128,0.23223,0.14568,0.92186,1.36577,0.88671,0.84,0.89394,0.46442,0.88671,0.84,0.94452,0.90402,1.75129,0.21791,0.01781,1.00181,1.69832,0.0014654,0.0014654,0.0014654
29,1059.18,1.39382,0.20708,0.14566,0.89059,1.34027,0.9187,0.90439,0.93049,0.50123,0.9187,0.90439,0.95732,0.93684,1.62901,0.1886,0.04792,0.91762,1.65943,0.0014456,0.0014456,0.0014456
30,1092.54,1.38658,0.218,0.13213,0.87353,1.35268,0.94597,0.72,0.8608,0.41224,0.91248,0.88,0.96036,0.89497,1.7863,0.25231,0.04056,1.04354,1.68815,0.0014258,0.0014258,0.0014258
31,1125.32,1.37592,0.21447,0.14357,0.88798,1.31878,0.95425,0.83461,0.88824,0.44978,1,0.86087,0.96225,0.93774,1.78627,0.21349,0.0425,0.97188,1.72957,0.001406,0.001406,0.001406
32,1159.41,1.34907,0.19409,0.13189,0.85076,1.31028,0.9538,0.88,0.91684,0.46282,0.98684,0.92,0.97381,0.93703,1.78683,0.22652,0.01232,0.91567,1.84999,0.0013862,0.0013862,0.0013862
33,1192.02,1.35543,0.20251,0.13334,0.85652,1.31061,0.9559,0.92,0.95254,0.48759,0.99817,0.96,0.98726,0.94704,1.69419,0.22266,0.02513,0.84937,1.67129,0.0013664,0.0013664,0.0013664
34,1224.99,1.31387,0.19183,0.12809,0.82144,1.29502,0.91589,0.92,0.92314,0.50282,0.94882,0.96,0.97233,0.937,1.66109,0.20521,0.01839,0.77227,1.71113,0.0013466,0.0013466,0.0013466
35,1259.24,1.30534,0.17742,0.11711,0.82991,1.28295,0.94578,0.92,0.92283,0.46837,1,0.99311,0.995,0.95648,1.75335,0.25432,0.0417,0.72977,1.77373,0.0013268,0.0013268,0.0013268
36,1291.64,1.31207,0.19866,0.12784,0.82983,1.2833,1,0.90776,0.92163,0.48242,0.96006,1,0.99192,0.95708,1.83843,0.22558,0.05519,0.79444,1.75166,0.001307,0.001307,0.001307
37,1324.62,1.27607,0.18184,0.13166,0.80223,1.27309,1,0.86911,0.91208,0.52334,0.94903,0.96,0.9768,0.92145,1.61262,0.25967,0.06894,0.86935,1.65376,0.0012872,0.0012872,0.0012872
38,1359.57,1.25631,0.19157,0.11682,0.8077,1.27187,0.98145,0.92,0.95362,0.46234,0.98145,0.92,0.98641,0.95101,1.62415,0.19414,0.02867,0.88257,1.61424,0.0012674,0.0012674,0.0012674
39,1393.13,1.25308,0.19683,0.12009,0.77801,1.24557,0.9602,0.84,0.91247,0.49419,1,0.87612,0.97592,0.92465,1.54877,0.23248,0.02681,0.84779,1.58189,0.0012476,0.0012476,0.0012476
40,1428.1,1.23501,0.17709,0.11993,0.76629,1.25613,0.91839,0.90065,0.91663,0.51781,0.91839,0.90065,0.96944,0.93358,1.61144,0.2298,0.0553,0.82266,1.66624,0.0012278,0.0012278,0.0012278
41,1461.87,1.1903,0.19,0.12185,0.77074,1.23114,0.9522,0.88,0.9396,0.4919,0.9522,0.88,0.97115,0.93766,1.63591,0.20236,0.0462,0.87351,1.67413,0.001208,0.001208,0.001208
42,1495.04,1.22171,0.17157,0.10824,0.75658,1.24317,0.95325,0.88,0.90607,0.45596,0.95953,0.94867,0.98566,0.92702,1.74109,0.27151,0.04429,0.98004,1.78491,0.0011882,0.0011882,0.0011882
43,1529.22,1.19549,0.16627,0.11702,0.7484,1.2223,0.9939,0.92,0.94632,0.47251,1,0.95415,0.98948,0.95606,1.79282,0.19342,0.05262,0.86182,1.74634,0.0011684,0.0011684,0.0011684
44,1561.46,1.1699,0.17052,0.11899,0.739,1.20607,0.93883,0.88,0.88429,0.43922,0.97062,0.92,0.97841,0.9356,1.85768,0.21259,0.03236,0.90221,1.8409,0.0011486,0.0011486,0.0011486
45,1595.68,1.13555,0.17453,0.10503,0.71217,1.19318,0.99107,0.88,0.93871,0.47291,0.99107,0.88,0.96619,0.9412,1.6703,0.20116,0.01376,0.87933,1.72638,0.0011288,0.0011288,0.0011288
46,1628.18,1.15036,0.16764,0.11869,0.72216,1.19333,0.84324,0.88,0.86221,0.47654,0.92329,1,0.9713,0.92924,1.7878,0.18887,0.03728,0.91689,1.82854,0.001109,0.001109,0.001109
47,1661.16,1.13301,0.16627,0.10632,0.7117,1.19558,0.99578,0.92,0.92899,0.52439,0.99578,0.92,0.98043,0.93824,1.71409,0.22948,0.04003,0.81007,1.76537,0.0010892,0.0010892,0.0010892
